pais,ano,litros,euros,euros_por_litro
Albânia,2021,151.0,1252.0,8.31
Albânia,2022,266.0,2270.0,8.55
Albânia,2023,963.0,8559.0,8.89
Albânia,2024,90.0,550.0,6.11
Albânia,2025,126.0,1102.0,8.75
Alemanha,2006,3008438.0,12043196.0,4.0
Alemanha,2007,4073398.0,15484645.0,3.8
Alemanha,2008,4718242.0,18407183.0,3.9
Alemanha,2009,4960267.0,18344497.0,3.7
Alemanha,2010,4087730.0,15711836.0,3.84
Alemanha,2011,3868401.0,15245678.0,3.94
Alemanha,2012,3817477.0,14690608.0,3.85
Alemanha,2013,4012237.0,16144879.0,4.02
Alemanha,2014,3976888.0,16145893.0,4.06
Alemanha,2015,3775376.0,15717290.0,4.16
Alemanha,2016,4006403.0,17064458.0,4.26
Alemanha,2017,4033016.0,17545767.0,4.35
Alemanha,2018,3772371.0,17456185.0,4.63
Alemanha,2019,3973367.0,18824435.0,4.74
Alemanha,2020,4188172.0,18702898.0,4.47
Alemanha,2021,4533714.0,21853774.0,4.82
Alemanha,2022,4354049.0,21318204.0,4.9
Alemanha,2023,4436770.0,21359378.0,4.81
Alemanha,2024,3854843.0,19033130.0,4.94
Alemanha,2025,3764503.0,18996339.0,5.05
Andorra,2006,124297.0,500153.0,4.02
Andorra,2007,109460.0,435038.0,3.97
Andorra,2008,135761.0,517213.0,3.81
Andorra,2009,88517.0,372980.0,4.21
Andorra,2010,115389.0,473259.0,4.1
Andorra,2011,106481.0,406258.0,3.82
Andorra,2012,99619.0,389352.0,3.91
Andorra,2013,73492.0,298139.0,4.06
Andorra,2014,107394.0,417229.0,3.89
Andorra,2015,85786.0,360290.0,4.2
Andorra,2016,73151.0,305069.0,4.17
Andorra,2017,64099.0,266131.0,4.15
Andorra,2018,70811.0,261434.0,3.69
Andorra,2019,59573.0,260190.0,4.37
Andorra,2020,47204.0,198446.0,4.2
Andorra,2021,42636.0,193068.0,4.53
Andorra,2022,52530.0,287940.0,5.48
Andorra,2023,54293.0,265580.0,4.89
Andorra,2024,44303.0,224699.0,5.07
Andorra,2025,45911.0,242069.0,5.27
Angola,2006,407888.0,1278854.0,3.14
Angola,2007,687584.0,2362351.0,3.44
Angola,2008,735030.0,3070737.0,4.18
Angola,2009,955888.0,3397195.0,3.55
Angola,2010,869666.0,3215197.0,3.7
Angola,2011,1296173.0,4400710.0,3.4
Angola,2012,1769354.0,5882006.0,3.32
Angola,2013,1567027.0,6642713.0,4.24
Angola,2014,2055667.0,8643988.0,4.2
Angola,2015,1398392.0,6318867.0,4.52
Angola,2016,810572.0,3593002.0,4.43
Angola,2017,905916.0,3392580.0,3.74
Angola,2018,762488.0,3262964.0,4.28
Angola,2019,742792.0,3199258.0,4.31
Angola,2020,354257.0,1549648.0,4.37
Angola,2021,510418.0,2068539.0,4.05
Angola,2022,746489.0,3588215.0,4.81
Angola,2023,523214.0,2947936.0,5.63
Angola,2024,505478.0,2823662.0,5.59
Angola,2025,606317.0,3071223.0,5.07
Anguila,2013,770.0,3095.0,4.02
Anguila,2014,5400.0,15010.0,2.78
Antilhas Holandesas,2006,11465.0,62417.0,5.44
Antilhas Holandesas,2007,12605.0,65200.0,5.17
Antilhas Holandesas,2008,13802.0,71341.0,5.17
Antilhas Holandesas,2009,12649.0,70800.0,5.6
Antilhas Holandesas,2010,9117.0,53499.0,5.87
Antilhas Holandesas,2011,14308.0,85330.0,5.96
Antilhas Holandesas,2012,12786.0,69649.0,5.45
Antilhas Holandesas,2013,13252.0,76988.0,5.81
Antilhas Holandesas,2014,8515.0,49370.0,5.8
Antilhas Holandesas,2015,2003.0,12230.0,6.11
Antígua e Barbuda,2006,1283.0,7774.0,6.06
Antígua e Barbuda,2007,1035.0,5788.0,5.59
Antígua e Barbuda,2008,1085.0,6010.0,5.54
Antígua e Barbuda,2009,1157.0,10074.0,8.71
Antígua e Barbuda,2010,468.0,2514.0,5.37
Antígua e Barbuda,2011,878.0,5996.0,6.83
Antígua e Barbuda,2012,959.0,3653.0,3.81
Antígua e Barbuda,2013,288.0,1448.0,5.03
Antígua e Barbuda,2014,1008.0,6194.0,6.14
Antígua e Barbuda,2015,432.0,2305.0,5.33
Antígua e Barbuda,2016,495.0,2742.0,5.54
Antígua e Barbuda,2018,428.0,2827.0,6.61
Antígua e Barbuda,2019,405.0,4579.0,11.31
Antígua e Barbuda,2022,2954.0,25178.0,8.52
Antígua e Barbuda,2023,900.0,6900.0,7.67
Antígua e Barbuda,2025,395.0,4111.0,10.42
Argentina,2006,2799.0,27308.0,9.76
Argentina,2007,5963.0,27948.0,4.69
Argentina,2008,3902.0,28765.0,7.37
Argentina,2009,1184.0,8471.0,7.16
Argentina,2010,4184.0,26265.0,6.28
Argentina,2011,6489.0,39596.0,6.1
Argentina,2012,1202.0,13431.0,11.18
Argentina,2013,4811.0,22058.0,4.59
Argentina,2014,347.0,7625.0,22.01
Argentina,2015,4680.0,22392.0,4.78
Argentina,2017,2796.0,25868.0,9.25
Argentina,2018,3717.0,30422.0,8.18
Argentina,2019,4176.0,55145.0,13.21
Argentina,2020,2580.0,17534.0,6.8
Argentina,2021,666.0,7326.0,11.0
Argentina,2022,4562.0,49936.0,10.95
Argentina,2023,3794.0,69549.0,18.33
Argentina,2024,423.0,6573.0,15.54
Argentina,2025,2526.0,23915.0,9.47
Argélia,2010,7200.0,13440.0,1.87
Argélia,2011,7200.0,12960.0,1.8
Argélia,2012,6750.0,13320.0,1.97
Argélia,2013,4500.0,14125.0,3.14
Argélia,2015,15246.0,54636.0,3.58
Argélia,2016,4500.0,12348.0,2.74
Argélia,2017,14850.0,49448.0,3.33
Argélia,2018,2250.0,8088.0,3.59
Argélia,2019,5400.0,21240.0,3.93
Argélia,2020,8910.0,35269.0,3.96
Argélia,2022,3555.0,17857.0,5.02
Arménia,2012,563.0,3493.0,6.21
Arménia,2013,315.0,3066.0,9.73
Arménia,2014,333.0,1627.0,4.89
Arménia,2015,432.0,2152.0,4.98
Arménia,2016,450.0,1275.0,2.83
Arménia,2017,540.0,3166.0,5.86
Arménia,2018,1080.0,3384.0,3.13
Arménia,2020,117.0,749.0,6.4
Arménia,2021,104.0,1072.0,10.36
Arménia,2022,2039.0,26673.0,13.08
Arménia,2023,1773.0,16515.0,9.31
Arménia,2024,1448.0,14699.0,10.15
Arménia,2025,1908.0,15415.0,8.08
Aruba,2007,306.0,2230.0,7.29
Aruba,2008,428.0,2408.0,5.63
Aruba,2011,648.0,2840.0,4.38
Aruba,2013,194.0,1186.0,6.13
Aruba,2014,221.0,1259.0,5.71
Aruba,2015,140.0,902.0,6.47
Aruba,2016,981.0,4783.0,4.88
Aruba,2017,72.0,344.0,4.78
Aruba,2018,671.0,7414.0,11.06
Aruba,2019,50.0,233.0,4.71
Aruba,2020,1467.0,10685.0,7.28
Aruba,2021,1371.0,7906.0,5.77
Aruba,2022,3605.0,17659.0,4.9
Aruba,2023,2549.0,14996.0,5.88
Aruba,2024,4340.0,37536.0,8.65
Aruba,2025,1980.0,11165.0,5.64
Austrália,2006,12635.0,118296.0,9.36
Austrália,2007,39089.0,308584.0,7.89
Austrália,2008,34714.0,343937.0,9.91
Austrália,2009,40660.0,329885.0,8.11
Austrália,2010,33642.0,309250.0,9.19
Austrália,2011,63670.0,542345.0,8.52
Austrália,2012,82142.0,522682.0,6.36
Austrália,2013,125724.0,1064739.0,8.47
Austrália,2014,110631.0,851252.0,7.69
Austrália,2015,62623.0,538014.0,8.59
Austrália,2016,103675.0,816592.0,7.88
Austrália,2017,78633.0,676436.0,8.6
Austrália,2018,98686.0,977701.0,9.91
Austrália,2019,94394.0,801851.0,8.49
Austrália,2020,96168.0,869915.0,9.05
Austrália,2021,58250.0,632632.0,10.86
Austrália,2022,77688.0,782738.0,10.08
Austrália,2023,70636.0,775758.0,10.98
Austrália,2024,44864.0,466190.0,10.39
Austrália,2025,68660.0,712459.0,10.38
Azerbaijão,2010,891.0,7526.0,8.45
Azerbaijão,2011,450.0,4463.0,9.92
Azerbaijão,2012,450.0,4057.0,9.02
Azerbaijão,2013,234.0,1729.0,7.39
Azerbaijão,2014,804.0,13288.0,16.53
Azerbaijão,2015,477.0,3053.0,6.4
Azerbaijão,2016,288.0,2588.0,8.99
Azerbaijão,2017,477.0,3893.0,8.16
Azerbaijão,2019,140.0,1499.0,10.75
Azerbaijão,2020,482.0,3073.0,6.38
Azerbaijão,2021,1895.0,15990.0,8.44
Azerbaijão,2022,1220.0,6271.0,5.14
Azerbaijão,2024,1424.0,10436.0,7.33
Azerbaijão,2025,2160.0,21233.0,9.83
Baamas,2006,2250.0,21943.0,9.75
Baamas,2007,1440.0,7250.0,5.03
Baamas,2008,2889.0,15011.0,5.2
Baamas,2010,819.0,3921.0,4.79
Baamas,2011,6665.0,33873.0,5.08
Baamas,2012,3942.0,20770.0,5.27
Baamas,2013,653.0,3779.0,5.79
Baamas,2014,180.0,889.0,4.94
Baamas,2023,488.0,13741.0,28.19
Baamas,2024,552.0,4009.0,7.26
Baamas,2025,428.0,3849.0,9.0
Bangladeche,2011,495.0,1717.0,3.47
Bangladeche,2014,495.0,2419.0,4.89
Bangladeche,2015,284.0,1325.0,4.68
Barbados,2007,660.0,5146.0,7.8
Barbados,2008,1373.0,9646.0,7.03
Barbados,2009,449.0,5044.0,11.25
Barbados,2010,722.0,7186.0,9.96
Barbados,2011,113.0,740.0,6.58
Barbados,2012,213.0,2590.0,12.16
Barbados,2013,90.0,612.0,6.8
Barbados,2014,234.0,3020.0,12.91
Barbados,2015,140.0,1268.0,9.09
Barbados,2018,108.0,1449.0,13.42
Barbados,2019,244.0,3324.0,13.61
Barbados,2021,774.0,6017.0,7.77
Barbados,2022,3353.0,19458.0,5.8
Barbados,2023,590.0,2444.0,4.15
Barbados,2024,1013.0,6877.0,6.79
Barbados,2025,653.0,3074.0,4.71
Barém,2006,293.0,1372.0,4.69
Barém,2007,585.0,2284.0,3.9
Barém,2008,180.0,622.0,3.45
Barém,2009,1260.0,5206.0,4.13
Barém,2010,540.0,2049.0,3.8
Barém,2011,6056.0,22303.0,3.68
Barém,2012,1137.0,6411.0,5.64
Barém,2013,1530.0,5532.0,3.62
Barém,2014,1898.0,10963.0,5.78
Barém,2015,2424.0,14301.0,5.9
Barém,2016,1383.0,7866.0,5.69
Barém,2017,1103.0,7143.0,6.48
Barém,2018,2412.0,15469.0,6.41
Barém,2019,1112.0,5967.0,5.37
Barém,2020,2150.0,13857.0,6.45
Barém,2021,1472.0,8746.0,5.94
Barém,2022,3429.0,23111.0,6.74
Barém,2023,1193.0,8126.0,6.81
Barém,2024,1725.0,12617.0,7.31
Barém,2025,2709.0,18380.0,6.78
Belize,2010,823.0,5825.0,7.08
Belize,2011,428.0,3066.0,7.17
Belize,2012,90.0,516.0,5.73
Belize,2014,23.0,570.0,25.33
Belize,2015,14504.0,40764.0,2.81
Belize,2016,16659.0,48042.0,2.88
Belize,2018,27.0,1308.0,48.44
Benim,2007,25.0,16.0,0.65
Benim,2008,5.0,90.0,17.07
Benim,2009,5.0,0.0,
Benim,2011,128.0,273.0,2.13
Benim,2012,2.0,0.0,
Benim,2013,5.0,0.0,
Benim,2015,5.0,0.0,
Benim,2016,6.0,0.0,
Benim,2024,2.0,0.0,
Benim,2025,401.0,3695.0,9.22
Bermudas,2006,10598.0,110249.0,10.4
Bermudas,2007,6436.0,67732.0,10.52
Bermudas,2008,12327.0,102960.0,8.35
Bermudas,2009,8915.0,64258.0,7.21
Bermudas,2010,9391.0,83274.0,8.87
Bermudas,2011,11328.0,92477.0,8.16
Bermudas,2012,6251.0,70099.0,11.21
Bermudas,2013,9944.0,87361.0,8.79
Bermudas,2014,5425.0,62841.0,11.58
Bermudas,2015,8574.0,72977.0,8.51
Bermudas,2016,7698.0,70079.0,9.1
Bermudas,2017,9281.0,87198.0,9.4
Bermudas,2018,17208.0,131632.0,7.65
Bermudas,2019,10332.0,69964.0,6.77
